Num_pub;Pays pub;Nb pays;Date prior;Date est expi;Date expi;Statut;Classification;Entreprise;Year pub;Year exp;Duree active
EP0800864B1;EP;9;1996-09-04;0000-00-00;2012-10-02;Status Expire;C; IFP Energies Nouvelles IFPEN Agip Petroli SpA;1996;2012;16
EP0320495B1;EP;28;1986-01-22;0000-00-00;2007-01-22;Status Expire;C; Institut Pasteur de Lille;1986;2007;21
EP1244161A1;EP;8;2001-03-19;0000-00-00;2006-04-04;Status Withdr;Y; Arkema SA;2001;2006;5
EP0742195B1;EP;7;1995-11-05;0000-00-00;2016-04-28;Status Expire;C; IFP Energies Nouvelles IFPEN;1995;2016;21
EP0006121A1;EP;5;1978-06-13;0000-00-00;1992-03-03;Status Expire;H; International Business Machines Corp;1978;1992;14
EP0013296A2;EP;9;1978-11-13;0000-00-00;1991-06-03;Status Expire;B; International Business Machines Corp;1978;1991;13
FR2490505A1;FR;10;1980-09-23;0000-00-00;1901-08-01;Status Expire;C; California Institute of Technology CalTech;1980;1901;-79
EP0410998B1;EP;10;1988-04-28;0000-00-00;2005-04-06;Status Expire;G; Quidel Corp;1988;2005;17
EP0836932A1;EP;7;1996-10-17;0000-00-00;2017-10-16;Status Expire;C; Saint Gobain Innovative Materials Belgium SA Saint Gobain Glass France SAS;1996;2017;21
EP0246987B1;EP;7;1986-05-20;0000-00-00;2005-05-19;Status Expire;Y; Aussedat Rey SA;1986;2005;19
EP0789077B1;EP;26;1995-03-08;0000-00-00;2016-08-03;Status Expire;C; Biomerieux SA;1995;2016;21
EP0838449B1;EP;7;1996-10-28;0000-00-00;2017-10-21;Status Expire;C; IFP Energies Nouvelles IFPEN;1996;2017;21
EP0004985B1;EP;8;1978-04-19;0000-00-00;1991-01-10;Status Expire;E; LES FILS D'AUGUSTE SCHEUCHZER SA;1978;1991;13
EP0650938B1;EP;10;1993-02-11;0000-00-00;2014-10-28;Status Expire;C; Saint Gobain Vitrage SA;1993;2014;21
EP0815307B1;EP;23;1996-01-19;0000-00-00;2013-08-01;Status Expire;B; Saint Gobain Adfors SAS;1996;2013;17
EP0742234B1;EP;8;1995-11-05;0000-00-00;2016-04-28;Status Expire;C; IFP Energies Nouvelles IFPEN;1995;2016;21
EP1307105B1;EP;10;2000-11-08;['2021-07-26'];2019-07-29;Status Active;A; Kraft Foods Global Brands LLC;2000;2019;19
FR3071157A1;FR;1;2017-09-16;0000-00-00;2019-03-22;Status Pendin;A; Juving Brunet Alexandre;2017;2019;2
EP0458674B1;EP;6;1990-05-23;0000-00-00;2005-05-10;Status Expire;C; IFP Energies Nouvelles IFPEN;1990;2005;15
EP0011532B1;EP;9;1978-11-14;0000-00-00;1999-10-22;Status Expire;C; Produits Chimiques Ugine Kuhlmann;1978;1999;21
EP0044760A1;EP;6;1980-01-07;0000-00-00;1997-03-01;Status Expire;B; Commissariat a lEnergie Atomique et aux Energies Alternatives;1980;1997;17
FR2828486A1;FR;5;2001-08-08;['2021-08-08'];2010-04-30;Status Expire;C; IFP Energies Nouvelles IFPEN;2001;2010;9
EP0390661B1;EP;5;1989-03-31;0000-00-00;2005-03-23;Status Expire;Y; Thales SA;1989;2005;16
EP0905281B1;EP;7;1997-09-25;0000-00-00;2018-09-23;Status Expire;C; Safran Aircraft Engines SAS;1997;2018;21
EP0039264A2;EP;6;1980-11-04;0000-00-00;1996-01-03;Status Expire;B; Commissariat a lEnergie Atomique et aux Energies Alternatives;1980;1996;16
FR2530490A1;FR;8;1982-01-19;0000-00-00;1982-06-06;Status Expire;B; Plurichemie Anstalt;1982;1982;0
EP0132186B1;EP;4;1983-07-13;0000-00-00;1991-04-03;Status Expire;G; Bull SA;1983;1991;8
EP0409709A1;EP;9;1989-07-20;0000-00-00;1993-12-20;Status Ceased;C; Rhodia Chimie SAS;1989;1993;4
FR2817269A1;FR;2;2000-11-24;0000-00-00;2001-02-04;Status Pendin;A; STAT R;2000;2001;1
EP0217696B1;EP;16;1985-08-27;0000-00-00;2005-08-22;Status Expire;C; Societe Nationale des Poudres et Explosifs;1985;2005;20
EP0054998A1;EP;5;1980-12-24;0000-00-00;1990-08-31;Status Expire;H; Philips Research Suresnes Koninklijke Philips NV;1980;1990;10
EP0409716B1;EP;10;1989-07-20;0000-00-00;2004-07-31;Status Expire;C; Rhodia Chimie SAS;1989;2004;15
EP0771130B1;EP;4;1995-10-25;0000-00-00;2009-10-23;Status Expire;H; Koninklijke Philips NV;1995;2009;14
EP0519564B1;EP;7;1991-06-17;0000-00-00;2012-06-14;Status Expire;G; De la Rue Cartes et Systemes SAS;1991;2012;21
EP0839122A1;EP;15;1996-05-14;0000-00-00;2014-05-31;Status Expire;C; Saint Gobain Glass France SAS;1996;2014;18
EP0772203A1;EP;2;1995-06-11;0000-00-00;1997-11-10;Status Withdr;G; Marie G R P;1995;1997;2
EP0091386B1;EP;17;1982-03-30;0000-00-00;1997-12-02;Status Expire;C; Rio Tinto France SAS;1982;1997;15
EP0712661B1;EP;9;1994-11-15;0000-00-00;2012-11-30;Status Expire;B; IFP Energies Nouvelles IFPEN;1994;2012;18
EP0824505A2;EP;7;1996-07-03;0000-00-00;2001-12-12;Status Withdr;C; Saint Gobain Glass France SAS;1996;2001;5
FR3005829A1;FR;1;2013-05-22;['2033-05-22'];2020-01-08;Status Expire;A; AB7 INNOVATION;2013;2020;7
EP1455947B1;EP;16;2000-12-18;['2021-12-17'];2018-06-29;Status Expire;Y; AirInSpace Ltd;2000;2018;18
EP0839771B1;EP;7;1996-10-29;0000-00-00;2014-10-29;Status Expire;C; Saint Gobain Glass France SAS;1996;2014;18
FR2768702A1;FR;6;1997-09-23;0000-00-00;2010-05-31;Status Expire;B; Cryovac LLC;1997;2010;13
EP0311486A1;EP;5;1987-05-10;0000-00-00;2005-09-27;Status Expire;G; Bull SA;1987;2005;18
EP0608375B1;EP;6;1991-10-15;0000-00-00;2000-08-01;Status Expire;G; Commissariat a lEnergie Atomique et aux Energies Alternatives;1991;2000;9
EP1077588B1;EP;11;1999-08-19;0000-00-00;2020-11-26;Status Expire;Y; INVENSIL;1999;2020;21
EP0029411B1;EP;6;1979-11-15;0000-00-00;1988-09-13;Status Expire;C; Battelle Memorial Institute Geneva Research Center Battelle Memorial Institute Inc;1979;1988;9
EP0567462B1;EP;5;1990-11-10;0000-00-00;1999-07-30;Status Expire;G; Diagnostica Stago SAS Alfa Biotech SpA;1990;1999;9
EP0474536A1;EP;7;1990-03-09;0000-00-00;2005-08-21;Status Expire;C; IFP Energies Nouvelles IFPEN;1990;2005;15
EP0961756B1;EP;11;1997-10-02;0000-00-00;2018-02-07;Status Expire;C; Commissariat a lEnergie Atomique et aux Energies Alternatives;1997;2018;21
EP0457640B1;EP;5;1990-11-05;0000-00-00;2005-04-29;Status Expire;C; IFP Energies Nouvelles IFPEN;1990;2005;15
EP3331691B1;EP;6;2015-05-08;['2036-08-05'];2019-10-09;Status Active;C; EssilorLuxottica SA;2015;2019;4
EP0953535B1;EP;5;1998-04-30;0000-00-00;2007-02-02;Status Expire;B; Rieter Ingolstadt Spinnereimaschinenbau AG;1998;2007;9
EP0666626A1;EP;2;1994-08-02;0000-00-00;1997-06-24;Status Withdr;H; Legrand SA;1994;1997;3
EP0313482A1;EP;5;1987-10-20;0000-00-00;1992-06-02;Status Withdr;C; Rhodia Chimie SAS;1987;1992;5
EP1190071B1;EP;11;1994-11-25;0000-00-00;2014-06-30;Status Expire;C; Bayer Pharma AG;1994;2014;20
FR2734162A1;FR;18;1995-05-15;0000-00-00;2012-01-31;Status Expire;A; Alza Corp;1995;2012;17
EP0000801B1;EP;7;1977-08-08;0000-00-00;1993-03-07;Status Expire;B; Solvay SA;1977;1993;16
EP0314584A1;EP;5;1987-10-20;0000-00-00;1992-07-21;Status Withdr;C; Rhodia Chimie SAS;1987;1992;5
FR2727163A1;FR;2;1994-11-23;0000-00-00;2014-07-31;Status Expire;A; IMV INSTR DE MEDECINE VETERINA;1994;2014;20
FR2628215A1;FR;1;1988-02-03;0000-00-00;2007-11-30;Status Expire;G; Helena Laboratories Corp;1988;2007;19
EP0275747A1;EP;5;1986-12-30;0000-00-00;2007-12-14;Status Expire;G; Bull SA;1986;2007;21
EP0945230A1;EP;7;1998-03-25;0000-00-00;2018-03-30;Status Expire;A; France Cocktail SA;1998;2018;20
EP0046697B1;EP;5;1980-08-27;0000-00-00;1988-11-18;Status Expire;G; Bull SA;1980;1988;8
EP1003888A2;EP;17;1997-08-14;0000-00-00;2009-08-15;Status Expire;C; Institut Pasteur de Lille;1997;2009;12
EP0109318A2;EP;2;1982-11-15;0000-00-00;1988-11-24;Status Ceased;A; Nabisco Brands Inc;1982;1988;6
EP0784188B1;EP;4;1996-01-15;0000-00-00;2012-01-31;Status Expire;B; IFP Energies Nouvelles IFPEN;1996;2012;16
EP0140770A2;EP;7;1983-10-19;0000-00-00;1988-03-07;Status Withdr;C; Rhodia Chimie SAS;1983;1988;5
EP0040994B1;EP;5;1980-02-04;0000-00-00;1990-12-01;Status Expire;G; Bull SA;1980;1990;10
EP0342128B1;EP;13;1988-05-13;0000-00-00;2008-04-24;Status Expire;C; F Hoffmann La Roche AG;1988;2008;20
EP0138633B1;EP;5;1983-07-28;0000-00-00;1992-07-27;Status Expire;B; Vegla Vereinigte Glaswerke GmbH Saint Gobain Glass France SAS Saint Gobain Vitrage SA;1983;1992;9
EP0369909A1;EP;2;1988-11-15;0000-00-00;1993-03-19;Status Withdr;G; MAMBRE BENOIT AIME PALISSOT FRANCOIS RAYMOND;1988;1993;5
FR2699297A1;FR;6;1992-12-16;0000-00-00;2009-08-31;Status Expire;G; Seiko Epson Corp;1992;2009;17
EP0392931B1;EP;4;1989-04-13;0000-00-00;2005-04-13;Status Expire;G; Bull SA;1989;2005;16
EP0099763B1;EP;5;1982-08-07;0000-00-00;2002-05-19;Status Expire;G; Bull SA;1982;2002;20
FR2767336A1;FR;1;1997-08-14;0000-00-00;2010-04-30;Status Expire;C; Institut Pasteur;1997;2010;13
EP0055659B1;EP;13;1980-12-29;0000-00-00;1999-08-31;Status Expire;C; Arkema France SA;1980;1999;19
EP0544577A1;EP;11;1991-11-26;0000-00-00;2005-11-24;Status Expire;C; Saint Gobain Vitrage SA;1991;2005;14
EP0963391B1;EP;14;1997-02-28;0000-00-00;2017-03-03;Status Expire;C; Rodhia Chimie;1997;2017;20
EP0552476B1;EP;16;1992-01-24;0000-00-00;2010-12-23;Status Expire;C; Paul Wurth SA;1992;2010;18
EP0290363B1;EP;7;1987-06-05;0000-00-00;2005-05-06;Status Expire;B; Lohr Industrie SA;1987;2005;18
FR2832189A1;FR;1;2001-09-11;['2021-11-09'];2016-07-29;Status Expire;F; Renault SAS;2001;2016;15
EP0021889A1;EP;4;1979-05-31;0000-00-00;1990-04-12;Status Expire;Y; Bpifrance Financement SA;1979;1990;11
EP1088879A1;EP;6;1999-09-30;0000-00-00;2012-04-03;Status Withdr;C; IFP Energies Nouvelles IFPEN;1999;2012;13
EP0236195B1;EP;5;1986-02-14;0000-00-00;2005-02-12;Status Expire;G; Bull SA;1986;2005;19
EP3352804B1;EP;6;2015-09-25;['2036-09-22'];2020-04-29;Status Active;A; Elkem Silicones France SAS;2015;2020;5
